Status,Post Title,Post Language,Post Slug,Broken URL,Action Taken,New URL
"Needs manual review","Surfen lernen auf Bali? 5 Tipps Massen vermeiden & mehr Wellen surfen","de","surfen-lernen-auf-bali-ohne-crowd","https://www.rapturecamps.com/de/surfcamp /bali/padang-padang/","No auto-fix available",""
"Needs manual review","Surfen lernen in Ericeira, Portugal: Europas Top Ziel für einen Surfkurs","de","surfen-lernen-in-ericeira-portugal","https://www.rapturecamps.com/de/blog/aktivitaten-in-ericeira/","No auto-fix available",""
"Needs manual review","Surfen lernen in Ericeira, Portugal: Europas Top Ziel für einen Surfkurs","de","surfen-lernen-in-ericeira-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfschule Costa Rica: Surf Lessons in Top-Qualität und in exklusiver Umgebung","de","surfschule-costa-rica","https://www.rapturecamps.com/de/top-5-surf-spots-in-playa-avellanas-costa-rica/","No auto-fix available",""
"Needs manual review","Surfschule Nicaragua","de","surfschule-nicaragua","https://www.rapturecamps.com/de/blog/surfkurse-nicaragua/","No auto-fix available",""
"Needs manual review","Surfschule Portugal: Ericeira & Alentejo","de","surfschule-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfschule Portugal: Ericeira & Alentejo","de","surfschule-portugal","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
"Needs manual review","Surfschule Portugal: Ericeira & Alentejo","de","surfschule-portugal","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
"Needs manual review","Surfurlaub Portugal","de","surfurlaub-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfurlaub Portugal","de","surfurlaub-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfurlaub Portugal","de","surfurlaub-portugal","https://www.rapturecamps.com/de/blog/surfkurse-in-ericeira-portugal/","No auto-fix available",""
"Needs manual review","Surfurlaub Portugal","de","surfurlaub-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Surfurlaub Portugal","de","surfurlaub-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Needs manual review","Top 8 Surf Spots in der Umgebung von Playa Avellanas, Costa Rica","de","top-8-surf-spots-in-der-umgebung-von-playa-avellanas-costa-rica","https://www.rapturecamps.com/de/blog/entdecke-tamarindo-costa-rica/","No auto-fix available",""
"Needs manual review","Was du wissen solltest, bevor du ein Surfcamp in Bali buchst.","de","was-du-wissen-solltest-bevor-du-ein-surfcamp-in-bali-buchst","https://www.rapturecamps.com/de/blog/8-reasons-why-bali-is-one-of-the-best-surfing-destinations- in-the-world/","No auto-fix available",""
"Needs manual review","Yoga & Surfen Surfcamp in Portugal","de","yoga-surfcamp-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira/","No auto-fix available",""
"Auto-fixed","10 Best Surf Spots in the World","en","top-10-surfing-destinations-in-the-world","http://edition.cnn.com/2013/06/30/travel/50-surf-spots/","Link removed (text kept)",""
"Auto-fixed","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/surf-ericeira/","Replaced","/de/blog/surfen-ericeira"
"Auto-fixed","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surf/ nehmen/ ","Replaced","/de/surfcamp/portugal/ericeira-lizandro"
"Auto-fixed","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/from-our-surf-house-in-ericeira-paddle-to-purpose/","Replaced","/de/blog/aus-unserem-surf-haus-in-ericeira-paddle-to-purpose"
"Auto-fixed","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/nightlife-in-ericeira/","Replaced","/de/blog/ericeiras-nachtleben-und-andere-aktivitaten"
"Auto-fixed","10 Dinge, die man im schönen Ericeira gesehen haben muss: ein Top-Surfziel in Portugal","de","10-dinge-die-man-im-schonen-ericeira-gesehen-haben-muss-ein-top-surfziel-in-portugal","https://www.rapturecamps.com/de/blog/surfing-in-portugal-a-brief-history/","Replaced","/de/blog/surfen-in-portugal-ein-kurzer-uberlick-uber-die-geschichte-dahinter"
"Auto-fixed","10 Gründe, noch heute mit dem Surfen anzufangen!","de","10-gruende-noch-heute-mit-dem-surfen-anzufangen","https://neuroscience.stanford.edu/news/what-me-worry","Link removed (text kept)",""
"Auto-fixed","10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","https://neuroscience.stanford.edu/news/what-me-worry","Link removed (text kept)",""
"Auto-fixed","10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","http://www.surfcamp.travel/bali/","Link removed (text kept)",""
"Auto-fixed","10 Reasons to Start Surfing Today!","en","reasons-to-start-surfing-today","http://www.surfcampinportugal.com/","Link removed (text kept)",""
"Auto-fixed","10 Things to Do in Playa Avellanas, Costa Rica","en","10-things-to-do-playa-avellanas-costa-rica","/what-to-see-in-tamarindo-costa-rica-rapture-surfcamps","Replaced","/blog/what-to-see-in-tamarindo-costa-rica"
"Auto-fixed","10 Unique and Incredibly Fun Things To Do In Costa Rica","en","10-fun-things-to-do-in-costa-rica","/blog/top-5-surf-spots-in-playa-avellanas-costa-rica","Replaced","/blog/top-surf-spots-around-playa-avellanas-costa-rica"
"Auto-fixed","10 Unique and Incredibly Fun Things To Do In Costa Rica","en","10-fun-things-to-do-in-costa-rica","/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Replaced","/blog/9-reasons-to-learn-to-surf-in-costa-rica"
"Auto-fixed","10 Unique and Incredibly Fun Things To Do In Costa Rica","en","10-fun-things-to-do-in-costa-rica","/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without","Replaced","/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget"
"Auto-fixed","15 amazing things to do in Ericeira, Portugal","en","best-things-to-do-in-ericeira","/de/surfcamp/portugal/alentejo-milfontes/food/bacalhau-a-bras-kabeljau","Replaced","/de/surfcamp/portugal/alentejo-milfontes"
"Auto-fixed","19 Things to Pack on a Surf Trip to Nicaragua and Costa Rica","en","what-to-pack-for-costa-rica-and-nicaragua","/travel-insurance-for-your-surf-trip","Replaced","/blog/surf-trip-insurance"
"Auto-fixed","29 Reasons Why Everyone Loves Surfing","en","why-is-surfing-popular","http://surfcamp.travel/bali","Link removed (text kept)",""
"Auto-fixed","29 Reasons Why Everyone Loves Surfing","en","why-is-surfing-popular","http://surfcamp.travel/portugal","Link removed (text kept)",""
"Auto-fixed","47 Surfing Terms To Speak Surf Like a Pro","en","speak-like-a-surfer","/blog/visiting-playa-avellanas-costa-rica-rapture-surfcamps","Replaced","/blog/10-things-to-do-playa-avellanas-costa-rica"
"Auto-fixed","47 Surfing Terms To Speak Surf Like a Pro","en","speak-like-a-surfer","/meet-us-online","Replaced","/contact"
"Auto-fixed","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/what-to-pack-for-costa-rica-and-nicaragua/","Replaced","/de/blog/packliste-fur-deine-reise-nach-costa-rica-nicaragua"
"Auto-fixed","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/6-of-the-best-tips-for-beginner-surfers/","Replaced","/de/blog/die-6-hilfreichsten-tipps-fur-surf-anfanger"
"Auto-fixed","5 der besten Anfänger Surfstrände in Costa Rica","de","5-der-besten-surf-anfangerstrande-in-costa-rica","https://www.rapturecamps.com/de/blog/10-things-to-do-playa-avellanas-costa-rica/","Replaced","/de/blog/die-top-10-aktivitaeten-in-costa-rica-playa-avellanas"
"Auto-fixed","6 Gründe für deinen ersten Surfurlaub in Nicaragua","de","6-grunde-fur-deinen-ersten-surfurlaub-in-nicaragua","https://www.rapturecamps.com/de/surfcamp/nicaragua/maderas/surfen/","Replaced","/de/surfcamp/nicaragua/maderas"
"Auto-fixed","6 Important Tips for Travelling with a Surfboard","en","traveling-with-a-surfboard-made-easy-in-6-simple-steps","/surf-holidays-vacation-portugal","Replaced","/surfcamp/portugal"
"Auto-fixed","6 Ways to Improve Your Surfing Skills","en","how-to-improve-your-surfing-in-6-easy-steps","/blog/surf-school-in-portugal","Replaced","/blog/surf-lessons-in-portugal"
"Auto-fixed","7 der verrücktesten Wellen der Welt und wo du sie findest","de","7-der-verrucktesten-wellen-der-welt-und-wo-du-sie-findest","https://www.rapturecamps.com/de/surfcamp/portugal/ericeira-lizandro/surfen/","Replaced","/de/surfcamp/portugal/ericeira-lizandro"
"Auto-fixed","7 Reasons why booking a surf camp will be the best thing you ever do","en","book-surf-camp","/10-things-playa-avellanas-costa-rica","Replaced","/blog/10-things-to-do-playa-avellanas-costa-rica"
"Auto-fixed","7 Reasons why booking a surf camp will be the best thing you ever do","en","book-surf-camp","/portugal-surfcamp","Replaced","/surfcamp/portugal"
"Auto-fixed","7 Reasons why booking a surf camp will be the best thing you ever do","en","book-surf-camp","/costa-rica-surfcamp","Replaced","/surfcamp/costa-rica"
"Auto-fixed","8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","/learning-to-surf-in-bali-heres-how-to-avoid-the-crowds-and-catch-more-waves","Replaced","/blog/avoid-crowd-and-catch-more-waves-in-bali"
"Auto-fixed","8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","https://www.indonesia.travel/in/en/trip-ideas/visa-free-for-169-countries-to-travel-to-indonesia","Link removed (text kept)",""
"Auto-fixed","8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","/surfing-bali-beginners-5-novice-surf-spots","Replaced","/blog/10-best-surf-spots-in-bali"
"Auto-fixed","8 Travel Tips for your Beginner Surf Trip to Bali","en","expert-travels-tips-first-learn-to-surf-trip-to-bali","/blog/surf-lessons-bali","Replaced","/blog/tips-to-choose-surf-lessons-in-bali"
"Auto-fixed","9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/costa-rica-surfcamp","Replaced","/surfcamp/costa-rica"
"Auto-fixed","9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Replaced","/blog/9-reasons-to-learn-to-surf-in-costa-rica"
"Auto-fixed","9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/planning-a-surf-trip-to-the-tropics-here-are-10-essentials-you-shouldnt-leave-home-without","Replaced","/blog/planning-a-surf-trip-to-the-tropics-10-essentials-you-shouldnt-forget"
"Auto-fixed","9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/costa-rica-surfcamp","Replaced","/surfcamp/costa-rica"
"Auto-fixed","9 Expert Tips for a Memorable Surf Trip in Costa Rica","en","9-tips-to-help-you-plan-the-perfect-surf-trip-to-costa-rica","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Replaced","/blog/9-reasons-to-learn-to-surf-in-costa-rica"
"Auto-fixed","A Guide to Surfing the Gili Islands","en","surfing-the-gili-islands","/7-things-to-do-on-the-gili-islands","Replaced","/blog/things-to-do-gili-islands"
"Auto-fixed","A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://www.indonesia.travel/gb/en/news/additional-measures-of-the-indonesian-government-in-relation-to-covid-19-response","Link removed (text kept)",""
"Auto-fixed","A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://apps.apple.com/pt/app/info-praia/id1467347173","Link removed (text kept)",""
"Auto-fixed","A message from Rapturecamps about COVID-19","en","rapturecamps-response-to-coronavirus","https://play.google.com/store/apps/details?id=pt.apambiente.info_praia&hl=pt_PT","Link removed (text kept)",""
"Auto-fixed","All About Booking Surf Lessons in Costa Rica","en","surf-camp-and-surf-lessons-in-costa-rica-everything-you-need-to-know","/blog/learn-to-surf-in-costa-rica-9-epic-reasons-why-you-should-go-right-now","Replaced","/blog/9-reasons-to-learn-to-surf-in-costa-rica"
"Auto-fixed","Alles was du über unser Surfcamp in Costa Rica wissen musst","de","alles-was-du-uber-unser-camp-in-costa-rica-wissen-musst","https://www.rapturecamps.com/de/surfcamp/costa-rica/avellanas/zimmer/","Replaced","/de/surfcamp/costa-rica/avellanas"
"Auto-fixed","Awayco – Leichtes Reisen ohne Surfboard","de","awayco-leichtes-reisen-ohne-surfboard","willkommen","Link removed (text kept)",""
"Auto-fixed","Bali Beyond the Beaches – Things to Do and Places to See in Bali","en","the-real-bali-ubud-and-uluwatu","/destinations/bali","Replaced","/surfcamp/bali"
"Auto-fixed","Bali Nightlife: From Sunset to Sunrise","en","nightlife-in-bali","/de/surfcamp/bali/canggu","Replaced","/de/surfcamp/bali"
"Auto-fixed","Bali Surf Resorts –  Your Gateway to World-Class Waves and Tropical Bliss","en","surf-resort-bali","/blog/surf-tips-beginners-learn-to-surf","Replaced","/blog/surf-tips-beginners"
"Auto-fixed","Best Surf Bikinis: Comfort, Style, And Performance","en","best-surf-bikinis","/blog/the-best-surf-clothing-brands-in-2024","Replaced","/blog/the-best-surf-clothing-brands-in-2025"
"Auto-fixed","Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-heres-what-to-look-for-when-making-your-decision","Replaced","/blog/what-to-look-for-when-booking-a-surf-camp"
"Auto-fixed","Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/surf-school-in-portugal","Replaced","/blog/surf-lessons-in-portugal"
"Auto-fixed","Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Replaced","/blog/what-to-know-before-booking-a-surf-camp-in-portugal"
"Auto-fixed","Best Surf Camp Near Lisbon – 7 Reasons Why its Rapture Surfcamps!","en","is-our-surf-camp-near-lisbon-right-for-you","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Replaced","/blog/what-to-know-before-booking-a-surf-camp-in-portugal"
"Auto-fixed","Booking a surf camp? Guide to Choosing the Right One","en","what-to-look-for-when-booking-a-surf-camp","/blog/visiting-playa-avellanas-costa-rica-rapture-surfcamps","Replaced","/blog/10-things-to-do-playa-avellanas-costa-rica"
"Auto-fixed","Booking a surf camp? Guide to Choosing the Right One","en","what-to-look-for-when-booking-a-surf-camp","/bali-surf-lessons-promo","Replaced","/surfcamp/bali"
"Auto-fixed","Booking a surf camp? Guide to Choosing the Right One","en","what-to-look-for-when-booking-a-surf-camp","/blog/booking-a-surf-camp-in-portugal-these-are-the-things-you-need-to-know-before-you-go","Replaced","/blog/what-to-know-before-booking-a-surf-camp-in-portugal"
"Auto-fixed","Catch The Perfect Wave: A Surfer’s Handbook To Canggu","en","catch-the-perfect-wave-a-surfers-handbook-to-canggu","/surfcamp/bali/canggu","Replaced","/surfcamp/bali"
"Auto-fixed","Catch The Perfect Wave: A Surfer’s Handbook To Canggu","en","catch-the-perfect-wave-a-surfers-handbook-to-canggu","/surfcamp/bali/canggu/surf","Replaced","/surfcamp/bali"
"Auto-fixed","Co-Living Ericeira, Portugal","en","co-living-ericeira-villa","/de/kontakt","Replaced","/contact"
"Auto-fixed","Darum solltest du Bali in der Regenzeit besuchen","de","warum-bali-in-der-regenzeit-besuchen-und-surfen","https://www.rapturecamps.com/de/blog/surfing-uluwatu/","Replaced","/de/blog/surfen-uluwatu"
"Auto-fixed","Der ultimative Leitfaden zum Surfen in Portugal – Rapture Surfcamps","de","der-ultimative-leitfaden-zum-surfen-in-portugal-rapture-surfcamps","https://www.rapturecamps.com/de/blog/surf-ericeira/","Replaced","/de/blog/surfen-ericeira"
"Auto-fixed","Die 10 besten Surfspots der Welt","de","die-10-besten-surfspots-der-welt","http://www.hotelclub.com/blog/10-of-the-worlds-best-surf-spots/","Link removed (text kept)",""
"Auto-fixed","Die 10 besten Surfspots der Welt","de","die-10-besten-surfspots-der-welt","http://edition.cnn.com/2013/06/30/travel/50-surf-spots/","Link removed (text kept)",""
"Auto-fixed","Die 10 Top Aktivitäten in Tamarindo, Costa Rica","de","die-10-top-aktivitaten-in-tamarindo-costa-rica","https://www.rapturecamps.com/top-5-surf-spots-in-playa-avellanas-costa-rica/","Replaced","/blog/top-surf-spots-around-playa-avellanas-costa-rica"
"Auto-fixed","Die 5 besten Orte, um Surfen zu lernen","de","die-5-besten-orte-um-surfen-zu-lernen-rapture-surfcamps","https://www.rapturecamps.com/surfing-uluwatu/","Replaced","/blog/surfing-uluwatu"
"Auto-fixed","Die 5 besten Orte, um Surfen zu lernen","de","die-5-besten-orte-um-surfen-zu-lernen-rapture-surfcamps","https://www.rapturecamps.com/surfing-padang-padang/","Replaced","/blog/surfing-padang-padang"
"Auto-fixed","Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://www.rapturecamps.com/blog/surf-tips-beginners-learn-to-surf/","Replaced","/blog/surf-tips-beginners"
"Auto-fixed","Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://balibelly.com/bingin/","Link removed (text kept)",""
"Auto-fixed","Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://www.rapturecamps.com/de/blog/surf-school-bali/","Replaced","/de/blog/surfschule-bali"
"Auto-fixed","Die besten Surfspots für Anfänger auf Bali","de","besten-surfspots-fur-anfanger-auf-bali","https://www.rapturecamps.com/de/blog/surf-school-bali/","Replaced","/de/blog/surfschule-bali"
